"","name","color","baseSpeed","stamina","sprint","variance","fatigue","kick","finalBoost","position","handicap"
"1","Thunder","#654321",3,0.75,3,0.25,0.6,0.8,1.2,"4416915114",0
"2","Lightning","#F5DEB3",2.7,0.99,1.05,0.56,0.25,0.2,1.9,"831471313",0
"3","Storm","#2F4F4F",3,0.9,1.2,0.7,0.18,0.05,1.5,"71512123",0
"4","Blaze","#CD853F",3.4,0.9,1,1,0.45,0.05,1.4,"51317168",0
"5","Shadow","#1C1C1C",3,1,1.06,0.22,0.7,0.007,1.3,"612181112",0
"6","Comet","#1C1C1C",3,0.7,2.5,0.25,0.03,0.9,1.5,"3118",0
"7","Raven","#B8860B",3,1,0.7,0.45,0.22,0.045,1.9,"1231027",0
"8","Titan","#CD853F",3,1,1,0.9,0.48,0.03,0.85,"1156155",0
"9","Venom","#A0522D",3.4,0.85,1.9,0.3,0.5,0.06,1,"8181464",0
"10","Nova","#DAA520",3,1,1,0.9,0.45,0.07,1,"1023513410",0
"11","Orbit","#B8860B",3.5,0.82,2,0.24,0.5,0.05,2,"9291197",0
"12","Shadow Strike","#CD5C5C",2.81,0.7,1.34,0.95,0.16,0.683,1.02,"19181923916",0
"13","NotNarratedbutLive","#C19A6B",3.2,0.99,1.76,0.96,0.62,0.511,1.29,"41424412",0
"14","Golden Trail","#C0C0C0",2.94,0.9,2.52,0.73,0.1,0.256,1.54,"107731086",0
"15","Wild Comet","#CD853F",3.51,1.08,2.05,0.26,0.68,0.665,1.62,"1211233134888",0
"16","Thunder Tornado","#E9967A",2.71,0.68,1.61,0.86,0.29,0.499,1.79,"202016261114",0
"17","Rapid Blaze","#E9967A",2.91,0.86,2.57,0.58,0.61,0.318,1.25,"1317610",0
"18","Find it","#A0522D",2.82,1.04,1.43,0.51,0.62,0.468,1.94,"6451",0
"19","Swift Strike","#CD853F",2.99,1.03,2.04,0.44,0.36,0.736,0.82,"21102",0
"20","Silent Whisper","#654321",3.35,0.61,1.75,0.4,0.51,0.478,1.53,"221920",0
"21","On Top of Mind","#1C1C1C",3.59,1.09,1.32,0.54,0.36,0.191,1.36,"33",0
"22","Swift Drift","#654321",3.34,0.85,1.98,0.95,0.69,0.765,1.23,"52",0
"23","Fire Falcon","#1C1C1C",3.15,0.79,1.23,0.41,0.07,0.34,1.86,"1727",0
"24","Fire Runner","#2F4F4F",3.09,0.81,1.95,0.65,0.14,0.28,0.89,"1511",0
"25","Shadow Runner","#1C1C1C",3.55,0.65,1.73,0.36,0.56,0.696,1.86,"666",0
"26","Crimson Echo","#1C1C1C",2.81,0.68,1,0.35,0.39,0.663,1.03,"21310",0
"27","Shadow Flash","#654321",2.77,0.8,2.13,0.77,0.31,0.757,1.06,"16",0
"28","Shadow Fury","#A0522D",3.5,0.77,1.96,0.45,0.7,0.516,1.84,"14",0
"29","Fire Rocket","#8B4513",3.08,0.81,1.04,0.31,0.2,0.033,0.87,"515",0
"30","Golden Storm","#C0C0C0",2.74,0.75,1.99,0.25,0.37,0.443,1.08,"7",0
"31","Brave Whisper","#FFD700",3.28,0.88,1.68,0.94,0.08,0.493,1.99,"281",0
"32","Shadow Drift","#8B4513",3.12,0.68,1.73,0.65,0.58,0.755,1.61,"62",0
"33","Blazing Flame","#654321",3.26,1.08,2.62,0.29,0.29,0.659,1.32,"1132112321",0
"34","Iron Flash","#D2691E",2.94,0.62,2.36,0.65,0.57,0.504,1.25,"10642717",0
"35","Blazing Wind","#A0522D",2.84,0.79,1.75,0.63,0.16,0.075,1.35,"8620",0
"36","Crimson Flash","#CD853F",2.8,1.08,1.9,0.86,0.66,0.131,1.76,"43213",0
"37","Golden Arrow","#A0522D",3.16,0.92,1.26,0.76,0.26,0.619,1.6,"36",0
"38","Thunder Runner","#B8860B",3.19,0.63,0.87,0.65,0.38,0.099,1.36,"122511",0
"39","Blazing Storm","#D2691E",2.83,0.8,1.6,0.78,0.1,0.191,0.86,"9519",0
"40","Midnight Whisper","#8B4513",2.85,0.81,0.73,0.8,0.62,0.336,1.08,"1149",0
"41","Iron Arrow","#2F4F4F",3.39,0.85,2.7,0.51,0.67,0.763,1.08,"1116",0
"42","Rapid Drift","#D3D3D3",3.17,0.82,2.98,0.43,0.06,0.221,1.08,"41510121414139",0
"43","Wild Trail","#E9967A",3.47,0.91,2.33,0.63,0.36,0.637,0.87,"16",0
"44","Midnight Rider","#1C1C1C",3.31,0.67,2.6,0.41,0.18,0.106,1.4,"51042",0
"45","Silver Comet","#2F4F4F",2.71,1.05,2.75,0.87,0.61,0.703,1.09,"4",0
"46","Fierce Tornado","#A9A9A9",3.32,0.88,1.94,0.52,0.39,0.237,1.71,"555",0
"47","Thunder Flame","#A9A9A9",3.5,0.87,1.98,0.26,0.03,0.498,1.46,"35",0
"48","Guess What","#A0522D",3.27,0.66,1.34,0.96,0.22,0.04,1.94,"9343",0
"49","Of course","#8B4513",2.8,0.98,2.22,0.37,0.25,0.727,0.9,"61668444",0
"50","Not Today","#8B4513",3.53,0.84,1.26,0.52,0.42,0.311,1.94,"333",0
"51","Wait a Minute","#F5DEB3",3.31,0.99,1.36,0.7,0.2,0.825,1.67,"21157211",0
"52","Electric Strike","#1C1C1C",2.83,0.62,2.35,0.7,0.06,0.328,1.91,"74",0
"53","Brave Rocket","#FFD700",3.37,1.01,2.37,0.46,0.1,0.878,1.54,"11111553212",0
"54","I think so","#B8860B",3.55,0.73,1.1,0.31,0.5,0.352,0.99,"63",0
"55","Fierce Arrow","#1C1C1C",3.08,0.74,1.4,0.93,0.66,0.445,1.02,"666",0
"56","Electric Trail","#8B4513",2.97,0.92,1.55,0.68,0.24,0.447,1.68,"293191111121211",0
"57","Stormy Rider","#654321",2.93,1.07,0.88,0.8,0.08,0.021,1.51,"6",0
"58","Swift Storm","#654321",2.9,0.6,2.34,0.94,0.25,0.581,1.17,"96",0
"59","Silent Rider","#A0522D",3.21,0.78,1.97,0.62,0.45,0.466,1.73,"73",0
"60","Nightglow","#A0522D",3.38,0.81,1.01,0.5,0.32,0.295,1.2,"84",0
"61","Silent Rocket","#B8860B",3.3,0.83,2.94,0.25,0.57,0.527,1.83,"52",0
"62","Rapid Fury","#CD853F",3.19,0.96,1.99,0.88,0.22,0.559,1.5,"3443553",0
"63","Radiant Echo","#A9A9A9",3.43,1.06,2.51,0.61,0.41,0.4,1.3,"14",0
"64","Swift Knight","#A0522D",3.38,0.91,2.65,0.37,0.06,0.162,1.92,"4",0
"65","Radiant Wind","#8B4513",2.72,1.05,2.72,0.5,0.16,0.646,1.36,"221126997",0
"66","Radiant Tornado","#8B4513",3.04,0.98,2.54,0.37,0.52,0.676,0.92,"310910665",0
"67","Blazing Knight","#CD853F",2.75,0.67,2.17,0.57,0.58,0.761,1.36,"101026",0
"68","Fire Knight","#CD5C5C",3.42,0.68,2.15,0.39,0.37,0.486,1.98,"66",0
"69","Majestic Strike","#D2691E",3.53,0.7,1.32,0.29,0.41,0.279,1.91,"77",0
"70","Shadowfax","#1C1C1C",3.19,0.82,0.77,0.26,0.03,0.416,1.32,"33",0
"71","Silent Flame","#CD5C5C",3.47,0.64,1.67,0.75,0.13,0.352,1.84,"8818",0
"72","Stormy Wind","#8B4513",3.23,0.71,1.52,0.43,0.61,0.232,1.16,"9975624",0
"73","Skyblazer","#DAA520",3.3,0.89,1.6,0.32,0.09,0.593,1.76,"228",0
"74","Too Late","#D3D3D3",3.16,0.8,1.1,0.98,0.19,0.86,1.76,"337",0
"75","Fierce Strike","#CD853F",3.39,0.88,1.44,0.53,0.69,0.269,1.26,"4417",0
"76","Silent Strike","#654321",3.51,1.01,1.65,0.52,0.42,0.589,1.26,"11253",0
"77","Midnight Storm","#DAA520",3.44,0.92,2.45,0.72,0.2,0.487,1.57,"213789776",0
"78","Stormy Whisper","#D3D3D3",2.76,0.8,1.33,0.93,0.44,0.542,1.83,"83225",0
"79","Thunder Whisper","#CD853F",2.7,0.95,0.97,0.37,0.05,0.032,1.59,"714",0
"80","Red Apple","#2F4F4F",2.75,0.65,0.77,0.64,0.13,0.014,1.42,"10877",0
"81","Fierce Runner","#CD853F",3.48,0.74,2.56,0.78,0.5,0.127,0.98,"67",0
"82","Rapid Spirit","#CD5C5C",3.22,0.9,1.8,0.52,0.07,0.032,1.54,"4",0
"83","Rapid Arrow","#B8860B",2.98,0.68,2.55,0.28,0.45,0.092,0.85,"95434",0
"84","Fierce Rocket","#F5DEB3",3.56,1.03,0.88,0.71,0.66,0.433,1.4,"21113151410109",0
"85","Silent Tornado","#CD5C5C",3.23,1.02,0.97,0.2,0.09,0.185,1.69,"381413111110",0
"86","Fire Tornado","#CD853F",3.18,0.84,1,0.37,0.68,0.735,1.7,"444",0
"87","Wild Arrow","#DAA520",3.05,0.99,2.4,0.74,0.05,0.227,0.88,"15",0
"88","Dont Boast","#8B4513",2.99,0.75,2.44,0.89,0.52,0.445,1.33,"48",0
"89","Electric Spirit","#E9967A",3.43,0.63,2.98,0.84,0.33,0.588,1.4,"7",0
"90","Silver Flame","#E9967A",2.74,0.82,2.14,0.31,0.41,0.151,1.12,"777",0
"91","Fire Whisper","#CD5C5C",3.03,0.83,1.36,0.51,0.61,0.755,1.52,"6",0
"92","Stormy Echo","#FFD700",3.47,0.77,1.16,0.83,0.4,0.399,1.68,"78",0
"93","Thunder Trail","#F5DEB3",3.33,0.69,2.54,0.75,0.52,0.218,1.66,"84221",0
"94","Golden Flame","#654321",3.32,0.85,2.37,0.68,0.45,0.276,0.94,"31412151313122",0
"95","Electric Runner","#A0522D",3.01,0.61,1.2,0.3,0.24,0.152,1.49,"97555",0
"96","Thunder Wind","#8B4513",3.2,0.99,2.41,0.64,0.29,0.531,1.76,"134",0
"97","Brave Fury","#C19A6B",2.82,0.88,2.69,0.56,0.17,0.142,1.08,"555",0
"98","Windracer","#1C1C1C",3.41,0.92,1.92,0.81,0.6,0.169,1.67,"21015",0
"99","Swift Flame","#2F4F4F",3.5,0.83,2.08,0.22,0.44,0.312,1.81,"222",0
